local_path,package,hash
Comp/r-sas_mcnemar.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_mcnemar.qmd,sessioninfo,3f9796a8d0a0e8c6eb49a4b029359d1f
Comp/r-sas_mcnemar.qmd,vcd,4.3.2
Comp/r-sas_mmrm.qmd,details,4.3.2
Comp/r-sas_mmrm.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
Comp/r-sas_mmrm.qmd,emmeans,6b0c6fcbdbefe525d2ee713f95880f90
Comp/r-sas_mmrm.qmd,ggplot2,7ad64861e028a777d7d67ff83231b548
Comp/r-sas_mmrm.qmd,glmmTMB,d9397006b6a8205a1e0b0ca3c2f855e3
Comp/r-sas_mmrm.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_mmrm.qmd,lme4,5f0e0456cdabdc82fbf1e4a7dcb5885e
Comp/r-sas_mmrm.qmd,microbenchmark,f9d226d88d4087d817d4e616626ce8e5
Comp/r-sas_mmrm.qmd,mmrm,4.3.2
Comp/r-sas_mmrm.qmd,nlme,ccbb8846be320b627e6aa2b4616a2ded
Comp/r-sas_mmrm.qmd,purrr,cc8b5d43f90551fa6df0a6be5d640a4f
Comp/r-sas_mmrm.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_mmrm.qmd,scales,c5bba8f0d1df8c4b9538a40570798d9b
Comp/r-sas_mmrm.qmd,stringr,960e2ae9e09656611e0b8214ad543207
Comp/r-sas_negbin.qmd,MASS,a56a6365b3fa73293ea8d084be0d9bb0
Comp/r-sas_negbin.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
Comp/r-sas_negbin.qmd,emmeans,6b0c6fcbdbefe525d2ee713f95880f90
Comp/r-sas_negbin.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_psmatch.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_rbmi_continuous_joint.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_rbmi_continuous_joint.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_recurrent_events.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_recurrent_events.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_summary_skew_kurt.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_summary_skew_kurt.qmd,procs,7b941743d6101b315e73c6652c3246db
Comp/r-sas_summary_skew_kurt.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_survival.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_survival.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_survival.qmd,tibble,a84e2cc86d07289b3b6f5069df7a004c
Comp/r-sas_survival_cif.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_survival_cif.qmd,sessioninfo,3f9796a8d0a0e8c6eb49a4b029359d1f
Comp/r-sas_survival_csh.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_survival_csh.qmd,sessioninfo,3f9796a8d0a0e8c6eb49a4b029359d1f
Comp/r-sas_tipping_point.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_tipping_point.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_tobit.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_tobit.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
Comp/r-sas_ttest_1Sample.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
Comp/r-sas_ttest_1Sample.qmd,procs,7b941743d6101b315e73c6652c3246db
